size,N,G,Eval/BitGroup_Mem_Num,Eval/BitGroup_Mem_Ratio,Eval/PerGroup_Accuracy,Eval/PerGroup_Correct,Eval/Sample_Accuracy,Eval/Sample_Correct,Eval/Sample_Mem_Num,Eval/Sample_Mem_Ratio,Training/Gradient_Norm,Training/Learning_Rate,Training/Loss_Avg,Training/Loss_Step
mini,8192,36,2047.0,0.99951171875,0.99951171875,2047.0,0.99951171875,2047.0,2047.0,0.99951171875,0.16794085502624512,9.999999747378752e-05,0.33440032601356506,0.2525791525840759
mini,16384,2,36864.0,1.0,1.0,36864.0,1.0,2048.0,2046.0,0.9990234375,0.09772934764623642,9.999999747378752e-05,0.297092467546463,0.27149784564971924
mini,16384,3,24576.0,1.0,1.0,24576.0,1.0,2048.0,2045.0,0.99853515625,0.15735921263694763,9.999999747378752e-05,0.32540664076805115,0.27278199791908264
mini,16384,4,18432.0,1.0,1.0,18432.0,1.0,2048.0,2042.0,0.9970703125,0.1818036586046219,9.999999747378752e-05,0.35800492763519287,0.2748473286628723
mini,16384,6,12288.0,1.0,1.0,12288.0,1.0,2048.0,2041.0,0.99658203125,0.20080284774303436,9.999999747378752e-05,0.3966922163963318,0.2757260799407959
mini,16384,9,8182.0,0.998779296875,0.998779296875,8182.0,0.99658203125,2041.0,2038.0,0.9951171875,0.29125845432281494,9.999999747378752e-05,0.4026475250720978,0.27936461567878723
mini,16384,12,6131.0,0.9978840947151184,0.9978840947151184,6131.0,0.9951171875,2038.0,2035.0,0.99365234375,0.37807419896125793,9.999999747378752e-05,0.4017161428928375,0.27926576137542725
mini,16384,18,4081.0,0.996337890625,0.99755859375,4086.0,0.99609375,2040.0,2040.0,0.99609375,0.41220998764038086,9.999999747378752e-05,0.39361631870269775,0.28211504220962524
mini,16384,36,2035.0,0.99365234375,0.99658203125,2041.0,0.99658203125,2041.0,2035.0,0.99365234375,0.4235495626926422,9.999999747378752e-05,0.39213860034942627,0.28229883313179016
mini,32768,2,36864.0,1.0,1.0,36864.0,1.0,2048.0,1863.0,0.90966796875,0.14674387872219086,9.999999747378752e-05,0.33593517541885376,0.30564332008361816
mini,32768,3,24576.0,1.0,0.9999592900276184,24575.0,0.99951171875,2047.0,1974.0,0.9638671875,0.2788972556591034,9.999999747378752e-05,0.3966371417045593,0.30422502756118774
mini,32768,4,18432.0,1.0,1.0,18432.0,1.0,2048.0,1978.0,0.9658203125,0.2786934971809387,9.999999747378752e-05,0.41789013147354126,0.3029108941555023
mini,32768,6,12232.0,0.9954426884651184,0.9954426884651184,12232.0,0.97265625,1992.0,1907.0,0.93115234375,0.3640193045139313,9.999999747378752e-05,0.46636930108070374,0.3124140202999115
mini,32768,9,7978.0,0.973876953125,0.973876953125,7978.0,0.91943359375,1883.0,1816.0,0.88671875,0.5193287134170532,9.999999747378752e-05,0.5245258212089539,0.3299235999584198
mini,32768,12,5719.0,0.9308268427848816,0.9308268427848816,5719.0,0.837890625,1716.0,1609.0,0.78564453125,0.9864655137062073,9.999999747378752e-05,0.5336974263191223,0.3393014669418335
mini,32768,18,3508.0,0.8564453125,0.892822265625,3657.0,0.845703125,1732.0,1682.0,0.8212890625,0.5594622492790222,9.999999747378752e-05,0.5279378294944763,0.34316956996917725
mini,32768,36,1736.0,0.84765625,0.9169921875,1878.0,0.9169921875,1878.0,1736.0,0.84765625,0.5979295969009399,9.999999747378752e-05,0.5231798887252808,0.3375155031681061
nano,4096,2,36864.0,1.0,1.0,36864.0,1.0,2048.0,2047.0,0.99951171875,0.08527860045433044,9.999999747378752e-05,0.24180057644844055,0.23221366107463837
nano,4096,3,24576.0,1.0,1.0,24576.0,1.0,2048.0,2048.0,1.0,0.1330661177635193,9.999999747378752e-05,0.2528494894504547,0.2330045998096466
nano,4096,4,18432.0,1.0,1.0,18432.0,1.0,2048.0,2048.0,1.0,0.15996131300926208,9.999999747378752e-05,0.2611459791660309,0.2345856875181198
nano,4096,6,12288.0,1.0,1.0,12288.0,1.0,2048.0,2048.0,1.0,0.1898287534713745,9.999999747378752e-05,0.26895198225975037,0.23378828167915344
nano,4096,9,8192.0,1.0,1.0,8192.0,1.0,2048.0,2048.0,1.0,0.24350754916667938,9.999999747378752e-05,0.27109605073928833,0.23750931024551392
nano,4096,12,6144.0,1.0,1.0,6144.0,1.0,2048.0,2048.0,1.0,0.18764129281044006,9.999999747378752e-05,0.27510324120521545,0.23319509625434875
nano,4096,18,4096.0,1.0,1.0,4096.0,1.0,2048.0,2048.0,1.0,0.36865538358688354,9.999999747378752e-05,0.272981733083725,0.2370421141386032
nano,4096,36,2048.0,1.0,1.0,2048.0,1.0,2048.0,2048.0,1.0,0.2421017587184906,9.999999747378752e-05,0.27813467383384705,0.23688973486423492
