exp_name,task_type,model_arch,model_size,rep,N,n_size,D,K,K_list,G,encoding,n_layer,n_embd,n_head,lr,wd,nsteps,support_size,stat_mem_frac,stat_mem_thresh,rule_onset_acc85,rule_onset_acc90,rule_onset_acc95,row_onset_90,col_onset_90,block_onset_90,mem_onset_mem10,mem_onset_mem20,mem_onset_mem35,mem_onset_mem50,mem_onset_stat,novel_onset_01,novel_onset_05,novel_onset_09
GPT_B_parity_N4096_D36_G12_even,parity,GPT,B,1,4096,,36.0,,,12.0,,,,,0.0001,0.01,100000,8589934592,4.76837158203125e-07,0.10000047683715821,5640.0,5896.0,6280.0,5512.0,,,3780.0,3972.0,4292.0,4612.0,3780.0,1.0,,
GPT_B_parity_N4096_D36_G18_even,parity,GPT,B,1,4096,,36.0,,,18.0,,,,,0.0001,0.01,100000,17179869184,2.384185791015625e-07,0.10000023841857911,5384.0,5768.0,6408.0,5256.0,,,3524.0,3780.0,3972.0,4260.0,3524.0,1.0,,
GPT_B_parity_N4096_D36_G2_even,parity,GPT,B,1,4096,,36.0,,,2.0,,,,,0.0001,0.01,100000,262144,0.015625,0.115625,108.0,108.0,116.0,98.0,,,3460.0,3716.0,3972.0,4164.0,3492.0,94.0,108.0,116.0
GPT_B_parity_N4096_D36_G36_even,parity,GPT,B,1,4096,,36.0,,,36.0,,,,,0.0001,0.01,100000,34359738368,1.1920928955078125e-07,0.10000011920928956,5640.0,6024.0,6664.0,6024.0,,,4068.0,4260.0,4516.0,4868.0,4068.0,1.0,676.0,
GPT_B_parity_N4096_D36_G3_even,parity,GPT,B,1,4096,,36.0,,,3.0,,,,,0.0001,0.01,100000,16777216,0.000244140625,0.100244140625,260.0,268.0,276.0,244.0,,,3396.0,3556.0,3812.0,4036.0,3396.0,244.0,252.0,268.0
GPT_B_parity_N4096_D36_G4_even,parity,GPT,B,1,4096,,36.0,,,4.0,,,,,0.0001,0.01,100000,134217728,3.0517578125e-05,0.100030517578125,1508.0,1508.0,1524.0,1300.0,,,3460.0,3588.0,3748.0,3940.0,3460.0,932.0,1348.0,1508.0
GPT_B_parity_N4096_D36_G6_even,parity,GPT,B,1,4096,,36.0,,,6.0,,,,,0.0001,0.01,100000,1073741824,3.814697265625e-06,0.10000381469726563,4772.0,5128.0,5640.0,4036.0,,,3684.0,3812.0,4036.0,4196.0,3684.0,3076.0,,
GPT_B_parity_N4096_D36_G9_even,parity,GPT,B,1,4096,,36.0,,,9.0,,,,,0.0001,0.01,100000,4294967296,9.5367431640625e-07,0.10000095367431641,5128.0,5384.0,5896.0,4676.0,,,3652.0,3844.0,4004.0,4228.0,3652.0,2756.0,,
GPT_mini_parity_N16384_D36_G12_even,parity,GPT,mini,1,16384,,36.0,,,12.0,,,,,0.0001,0.01,100000,8589934592,1.9073486328125e-06,0.10000190734863282,47888.0,53584.0,61776.0,40720.0,,,28688.0,31504.0,33552.0,36112.0,28688.0,1.0,,
GPT_mini_parity_N16384_D36_G18_even,parity,GPT,mini,1,16384,,36.0,,,18.0,,,,,0.0001,0.01,100000,17179869184,9.5367431640625e-07,0.10000095367431641,45328.0,49424.0,56656.0,45328.0,,,24336.0,26640.0,30480.0,33808.0,24336.0,1.0,,
GPT_mini_parity_N16384_D36_G2_even,parity,GPT,mini,1,16384,,36.0,,,2.0,,,,,0.0001,0.01,100000,262144,0.0625,0.1625,70.0,74.0,94.0,58.0,,,20752.0,23568.0,26384.0,28176.0,22800.0,54.0,62.0,148.0
GPT_mini_parity_N16384_D36_G36_even,parity,GPT,mini,1,16384,,36.0,,,36.0,,,,,0.0001,0.01,100000,34359738368,4.76837158203125e-07,0.10000047683715821,42000.0,45840.0,54608.0,45840.0,,,24080.0,27152.0,29968.0,34832.0,24080.0,1.0,900.0,
GPT_mini_parity_N16384_D36_G3_even,parity,GPT,mini,1,16384,,36.0,,,3.0,,,,,0.0001,0.01,100000,16777216,0.0009765625,0.1009765625,308.0,308.0,308.0,284.0,,,21008.0,22288.0,23824.0,25616.0,21008.0,276.0,292.0,308.0
GPT_mini_parity_N16384_D36_G4_even,parity,GPT,mini,1,16384,,36.0,,,4.0,,,,,0.0001,0.01,100000,134217728,0.0001220703125,0.1001220703125,9864.0,9992.0,9992.0,5640.0,,,27664.0,28944.0,30736.0,32528.0,27664.0,3012.0,9352.0,9992.0
GPT_mini_parity_N16384_D36_G6_even,parity,GPT,mini,1,16384,,36.0,,,6.0,,,,,0.0001,0.01,100000,1073741824,1.52587890625e-05,0.1000152587890625,37136.0,38928.0,40208.0,17936.0,,,32272.0,34320.0,36112.0,38928.0,32272.0,10768.0,26896.0,
GPT_mini_parity_N16384_D36_G9_even,parity,GPT,mini,1,16384,,36.0,,,9.0,,,,,0.0001,0.01,100000,4294967296,3.814697265625e-06,0.10000381469726563,46096.0,48912.0,56656.0,40720.0,,,29456.0,31248.0,34064.0,36368.0,29456.0,9608.0,,
GPT_mini_parity_N32768_D36_G12_even,parity,GPT,mini,1,32768,,36.0,,,12.0,,,,,0.0001,0.01,100000,8589934592,3.814697265625e-06,0.10000381469726563,,,,91984.0,,,59728.0,64336.0,73040.0,80208.0,59728.0,1.0,,
GPT_mini_parity_N32768_D36_G18_even,parity,GPT,mini,1,32768,,36.0,,,18.0,,,,,0.0001,0.01,100000,17179869184,1.9073486328125e-06,0.10000190734863282,,,,,,,54608.0,59728.0,66896.0,72528.0,54608.0,1.0,,
GPT_mini_parity_N32768_D36_G2_even,parity,GPT,mini,1,32768,,36.0,,,2.0,,,,,0.0001,0.01,100000,262144,0.125,0.225,70.0,74.0,90.0,58.0,,,66.0,57168.0,65872.0,72528.0,58704.0,58.0,66.0,
GPT_mini_parity_N32768_D36_G36_even,parity,GPT,mini,1,32768,,36.0,,,36.0,,,,,0.0001,0.01,100000,34359738368,9.5367431640625e-07,0.10000095367431641,85328.0,96080.0,,96080.0,,,51536.0,56656.0,63312.0,69968.0,51536.0,1.0,444.0,
GPT_mini_parity_N32768_D36_G3_even,parity,GPT,mini,1,32768,,36.0,,,3.0,,,,,0.0001,0.01,100000,16777216,0.001953125,0.101953125,308.0,308.0,316.0,284.0,,,49424.0,53072.0,56656.0,61264.0,49680.0,268.0,300.0,308.0
GPT_mini_parity_N32768_D36_G4_even,parity,GPT,mini,1,32768,,36.0,,,4.0,,,,,0.0001,0.01,100000,134217728,0.000244140625,0.100244140625,11536.0,11536.0,11536.0,4196.0,,,45328.0,47888.0,51024.0,55632.0,45328.0,2388.0,9608.0,11536.0
GPT_mini_parity_N32768_D36_G6_even,parity,GPT,mini,1,32768,,36.0,,,6.0,,,,,0.0001,0.01,100000,1073741824,3.0517578125e-05,0.100030517578125,68432.0,76624.0,92496.0,29712.0,,,46864.0,51024.0,55120.0,59216.0,46864.0,13072.0,30992.0,
GPT_mini_parity_N32768_D36_G9_even,parity,GPT,mini,1,32768,,36.0,,,9.0,,,,,0.0001,0.01,100000,4294967296,7.62939453125e-06,0.10000762939453126,89936.0,,,75600.0,,,56656.0,60752.0,66384.0,71504.0,56656.0,12816.0,,
GPT_mini_parity_N4096_D36_G12_even,parity,GPT,mini,1,4096,,36.0,,,12.0,,,,,0.0001,0.01,100000,8589934592,4.76837158203125e-07,0.10000047683715821,9864.0,10256.0,11280.0,9480.0,,,6408.0,6920.0,7560.0,8200.0,6408.0,3.0,,
GPT_mini_parity_N4096_D36_G18_even,parity,GPT,mini,1,4096,,36.0,,,18.0,,,,,0.0001,0.01,100000,17179869184,2.384185791015625e-07,0.10000023841857911,9608.0,10768.0,12304.0,9608.0,,,6664.0,6920.0,7432.0,7944.0,6664.0,1.0,,
GPT_mini_parity_N4096_D36_G2_even,parity,GPT,mini,1,4096,,36.0,,,2.0,,,,,0.0001,0.01,100000,262144,0.015625,0.115625,58.0,62.0,74.0,48.0,,,5512.0,6024.0,6408.0,6792.0,5512.0,46.0,58.0,66.0
GPT_mini_parity_N4096_D36_G36_even,parity,GPT,mini,1,4096,,36.0,,,36.0,,,,,0.0001,0.01,100000,34359738368,1.1920928955078125e-07,0.10000011920928956,9096.0,10256.0,12048.0,10256.0,,,6280.0,6792.0,7432.0,8072.0,6280.0,1.0,948.0,
GPT_mini_parity_N4096_D36_G3_even,parity,GPT,mini,1,4096,,36.0,,,3.0,,,,,0.0001,0.01,100000,16777216,0.000244140625,0.100244140625,308.0,308.0,316.0,292.0,,,5896.0,6152.0,6664.0,7048.0,5896.0,284.0,300.0,308.0
GPT_mini_parity_N4096_D36_G4_even,parity,GPT,mini,1,4096,,36.0,,,4.0,,,,,0.0001,0.01,100000,134217728,3.0517578125e-05,0.100030517578125,1684.0,1700.0,1700.0,1668.0,,,6408.0,6920.0,7304.0,7560.0,6408.0,1028.0,1684.0,1700.0
GPT_mini_parity_N4096_D36_G6_even,parity,GPT,mini,1,4096,,36.0,,,6.0,,,,,0.0001,0.01,100000,1073741824,3.814697265625e-06,0.10000381469726563,8712.0,9352.0,10768.0,7304.0,,,6280.0,6536.0,6792.0,7304.0,6280.0,3236.0,,
